EntrezID1	EntrezId2
6146	8065
6146	1432
6146	8451
6146	8452
6146	8453
6146	8454
6146	23435
6146	6156
6146	3725
6146	6159
6146	6160
6146	55832
6146	10514
6146	83987
6146	7316
6146	8726
6146	3609
6146	408
6146	409
6146	22938
6146	100288687
6146	6045
6146	23710
6146	6175
6146	6128
6146	292
6146	4904
6146	3676
6146	2091
6146	6188
6146	6189
6146	6191
6146	6122
6146	2099
6146	4869
6146	11337
6146	6201
6146	6203
6146	60
6146	4670
6146	6207
6146	6208
6146	57154
6146	3608
6146	6217
6146	4171
6146	6222
6146	11345
6146	4691
6146	5460
6146	6136
6146	1956
6146	10075
6146	988
6146	81631
6146	3383
6146	9188
6146	7428
6146	1660
6146	3178
6146	10987
6146	6124
6146	1938
6146	7150
6146	6141
6146	2335
6146	6129
6146	7412
6146	7415
6146	3192
6146	1017
6146	1915
6146	3068
6146	5885
6146	6135
6146	6143
8200	657
8200	90
8200	659
8200	658
8200	9241
8202	10498
8202	10499
8202	8452
8202	7175
8202	51592
8202	9611
8202	9612
8202	3725
8202	654
8202	655
8202	4089
8202	8850
8202	57492
8202	1432
8202	10521
8202	1050
8202	367
8202	7068
8202	5594
8202	121504
8202	7067
8202	2959
8202	4775
8202	2908
8202	1052
8202	7341
8202	302
8202	2353
8202	2099
8202	2100
8202	2101
8202	4790
8202	2103
8202	3551
8202	2113
8202	2114
8202	2115
8202	6597
8202	5705
8202	6599
8202	8648
8202	6601
8202	5914
8202	1655
8202	3276
8202	6605
8202	10062
8202	1869
8202	7376
8202	4088
8202	2130
8202	595
8202	4087
8202	5465
8202	602
8202	10971
8202	3164
8202	5599
8202	7520
8202	8290
8202	5728
8202	672
8202	5915
8202	5467
8202	1387
8202	5970
8202	8431
8202	6256
8202	2033
8202	2932
8202	7157
8202	7158
8202	57591
8202	5468
8202	5241
8202	1147
8202	6908
8202	7421
6156	8452
6156	4869
6156	8454
6156	8450
6156	6159
6156	6160
6156	3608
6156	10514
6156	8726
6156	2969
6156	55832
6156	409
6156	6191
6156	10524
6156	23710
6156	2335
6156	3363
6156	292
6156	6135
6156	4904
6156	2091
6156	6188
6156	6189
6156	100288687
6156	6122
6156	2355
6156	4790
6156	4791
6156	6201
6156	6203
6156	4670
6156	6207
6156	6208
6156	1654
6156	6217
6156	3320
6156	4171
6156	6222
6156	3725
6156	11345
6156	5970
6156	4691
6156	5460
6156	6136
6156	4738
6156	4087
6156	3609
6156	3676
6156	3551
6156	6497
