# List of orphan nodes from an older version of the CI.
EID	Symbol	Gene list	NCBI	KEGG	REACTOME	Notes
1661	DHX9P1	PAHKB	No	No	No	
2454	FRA13B	PAHKB	No	No	No	
2974	GUCY1B2	oldgenes	Yes	No	No	
5137	PDE1C	"oldgenes, PAHKB"	Yes	Yes	Yes	"Appears to have 3 interactions in BioGRID, missing from download file."
6315	ATXN8OS	PAHKB	Yes	No	No	
9424	KCNK6	newgenes	Yes	No	Yes	
22813	TDGF1P6	PAHKB	No	No	No	
60500	BRCA3	PAHKB	No	No	No	
79924	ADM2	PAHKB	Yes	No	Yes	
85507	DFNA18	PAHKB	No	No	No	
125704	FAM69C	PAHKB	No	No	No	
140623	FAUP1	PAHKB	No	No	No	
221074	SLC39A12	newgenes	Yes	No	No	"Appears to have 70 interactions in BioGRID, missing from download file."
246321	HSCR6	PAHKB	No	No	No	
259236	TMIE	PAHKB	Yes	No	No	
338091	PSMD10P3	PAHKB	No	No	No	
406881	MIRLET7A1	PAHKB	Yes	No	No	
406882	MIRLET7A2	PAHKB	Yes	No	No	
406883	MIRLET7A3	PAHKB	Yes	No	No	
406885	MIRLET7C	PAHKB	Yes	Yes	No	
406886	MIRLET7D	PAHKB	Yes	Yes	No	
406887	MIRLET7E	PAHKB	Yes	Yes	No	
406888	MIRLET7F1	PAHKB	Yes	Yes	No	
406889	MIRLET7F2	PAHKB	Yes	Yes	No	
406890	MIRLET7G	PAHKB	Yes	Yes	No	
406919	MIR130A	PAHKB	Yes	No	No	
406937	MIR145	PAHKB	Yes	Yes	No	
406952	MIR17	PAHKB	Yes	Yes	No	
406987	MIR204	PAHKB	Yes	No	No	
406991	MIR21	PAHKB	Yes	Yes	No	
406992	MIR210	PAHKB	Yes	Yes	No	
407009	MIR224	PAHKB	Yes	Yes	No	
407018	MIR27A	PAHKB	Yes	Yes	No	
407019	MIR27B	PAHKB	Yes	Yes	No	
407032	MIR30C2	PAHKB	Yes	Yes	No	
442901	MIR328	PAHKB	Yes	No	No	
474171	STGC3	PAHKB	No	No	No	
494336	MIR424	PAHKB	Yes	No	No	
574411	MIR451A	PAHKB	Yes	Yes	No	
574506	MIR503	PAHKB	Yes	No	No	
724066	ATXN8	PAHKB	Yes	No	No	
780906	SLI3	PAHKB	No	No	No	
100128044	HNRNPA1P11	PAHKB	No	No	No	
100132647	LOC100132647	PAHKB	No	No	No	
100188871	CELIAC9	PAHKB	No	No	No	
100271310	RPL35AP8	PAHKB	No	No	No	
100301990	LOC100301990	PAHKB	No	No	No	
100421865	EEF1A1P3	PAHKB	No	No	No	
100505876	CEBPZOS	PAHKB	No	No	No	
100529111	LOC100529111	PAHKB	No	No	No	
100653366	PSC	PAHKB	No	No	No	
100861563	SCAANT1	PAHKB	Yes	No	No	
